x_path,y_path
resources/data/mesh/sample_x20.npy,resources/data/mesh/sample_y20.npy
resources/data/mesh/sample_x21.npy,resources/data/mesh/sample_y21.npy
resources/data/mesh/sample_x22.npy,resources/data/mesh/sample_y22.npy
resources/data/mesh/sample_x23.npy,resources/data/mesh/sample_y23.npy
resources/data/mesh/sample_x24.npy,resources/data/mesh/sample_y24.npy
resources/data/mesh/sample_x25.npy,resources/data/mesh/sample_y25.npy
resources/data/mesh/sample_x26.npy,resources/data/mesh/sample_y26.npy
resources/data/mesh/sample_x27.npy,resources/data/mesh/sample_y27.npy
resources/data/mesh/sample_x28.npy,resources/data/mesh/sample_y28.npy
resources/data/mesh/sample_x29.npy,resources/data/mesh/sample_y29.npy
resources/data/mesh/sample_x30.npy,resources/data/mesh/sample_y30.npy
resources/data/mesh/sample_x31.npy,resources/data/mesh/sample_y31.npy
resources/data/mesh/sample_x32.npy,resources/data/mesh/sample_y32.npy
resources/data/mesh/sample_x33.npy,resources/data/mesh/sample_y33.npy
resources/data/mesh/sample_x34.npy,resources/data/mesh/sample_y34.npy
resources/data/mesh/sample_x35.npy,resources/data/mesh/sample_y35.npy
resources/data/mesh/sample_x36.npy,resources/data/mesh/sample_y36.npy
resources/data/mesh/sample_x37.npy,resources/data/mesh/sample_y37.npy
resources/data/mesh/sample_x38.npy,resources/data/mesh/sample_y38.npy
resources/data/mesh/sample_x39.npy,resources/data/mesh/sample_y39.npy
resources/data/mesh/sample_x40.npy,resources/data/mesh/sample_y40.npy
resources/data/mesh/sample_x41.npy,resources/data/mesh/sample_y41.npy
resources/data/mesh/sample_x42.npy,resources/data/mesh/sample_y42.npy
resources/data/mesh/sample_x43.npy,resources/data/mesh/sample_y43.npy
resources/data/mesh/sample_x44.npy,resources/data/mesh/sample_y44.npy
resources/data/mesh/sample_x45.npy,resources/data/mesh/sample_y45.npy
resources/data/mesh/sample_x46.npy,resources/data/mesh/sample_y46.npy
resources/data/mesh/sample_x47.npy,resources/data/mesh/sample_y47.npy
resources/data/mesh/sample_x48.npy,resources/data/mesh/sample_y48.npy
resources/data/mesh/sample_x49.npy,resources/data/mesh/sample_y49.npy
resources/data/mesh/sample_x50.npy,resources/data/mesh/sample_y50.npy
