x_path,y_path
resources/data/artificial/sample_x80.npy,resources/data/artificial/sample_y80.npy
resources/data/artificial/sample_x81.npy,resources/data/artificial/sample_y81.npy
resources/data/artificial/sample_x82.npy,resources/data/artificial/sample_y82.npy
resources/data/artificial/sample_x83.npy,resources/data/artificial/sample_y83.npy
resources/data/artificial/sample_x84.npy,resources/data/artificial/sample_y84.npy
resources/data/artificial/sample_x85.npy,resources/data/artificial/sample_y85.npy
resources/data/artificial/sample_x86.npy,resources/data/artificial/sample_y86.npy
resources/data/artificial/sample_x87.npy,resources/data/artificial/sample_y87.npy
resources/data/artificial/sample_x88.npy,resources/data/artificial/sample_y88.npy
resources/data/artificial/sample_x89.npy,resources/data/artificial/sample_y89.npy
resources/data/artificial/sample_x90.npy,resources/data/artificial/sample_y90.npy
resources/data/artificial/sample_x91.npy,resources/data/artificial/sample_y91.npy
resources/data/artificial/sample_x92.npy,resources/data/artificial/sample_y92.npy
resources/data/artificial/sample_x93.npy,resources/data/artificial/sample_y93.npy
resources/data/artificial/sample_x94.npy,resources/data/artificial/sample_y94.npy
resources/data/artificial/sample_x95.npy,resources/data/artificial/sample_y95.npy
resources/data/artificial/sample_x96.npy,resources/data/artificial/sample_y96.npy
resources/data/artificial/sample_x97.npy,resources/data/artificial/sample_y97.npy
resources/data/artificial/sample_x98.npy,resources/data/artificial/sample_y98.npy
resources/data/artificial/sample_x99.npy,resources/data/artificial/sample_y99.npy
resources/data/artificial/sample_x100.npy,resources/data/artificial/sample_y100.npy
resources/data/artificial/sample_x101.npy,resources/data/artificial/sample_y101.npy
resources/data/artificial/sample_x102.npy,resources/data/artificial/sample_y102.npy
resources/data/artificial/sample_x103.npy,resources/data/artificial/sample_y103.npy
resources/data/artificial/sample_x104.npy,resources/data/artificial/sample_y104.npy
resources/data/artificial/sample_x105.npy,resources/data/artificial/sample_y105.npy
resources/data/artificial/sample_x106.npy,resources/data/artificial/sample_y106.npy
resources/data/artificial/sample_x107.npy,resources/data/artificial/sample_y107.npy
resources/data/artificial/sample_x108.npy,resources/data/artificial/sample_y108.npy
resources/data/artificial/sample_x109.npy,resources/data/artificial/sample_y109.npy
resources/data/artificial/sample_x110.npy,resources/data/artificial/sample_y110.npy
resources/data/artificial/sample_x111.npy,resources/data/artificial/sample_y111.npy
resources/data/artificial/sample_x112.npy,resources/data/artificial/sample_y112.npy
resources/data/artificial/sample_x113.npy,resources/data/artificial/sample_y113.npy
resources/data/artificial/sample_x114.npy,resources/data/artificial/sample_y114.npy
resources/data/artificial/sample_x115.npy,resources/data/artificial/sample_y115.npy
resources/data/artificial/sample_x116.npy,resources/data/artificial/sample_y116.npy
resources/data/artificial/sample_x117.npy,resources/data/artificial/sample_y117.npy
resources/data/artificial/sample_x118.npy,resources/data/artificial/sample_y118.npy
resources/data/artificial/sample_x119.npy,resources/data/artificial/sample_y119.npy
resources/data/artificial/sample_x120.npy,resources/data/artificial/sample_y120.npy
resources/data/artificial/sample_x121.npy,resources/data/artificial/sample_y121.npy
resources/data/artificial/sample_x122.npy,resources/data/artificial/sample_y122.npy
resources/data/artificial/sample_x123.npy,resources/data/artificial/sample_y123.npy
resources/data/artificial/sample_x124.npy,resources/data/artificial/sample_y124.npy
resources/data/artificial/sample_x125.npy,resources/data/artificial/sample_y125.npy
resources/data/artificial/sample_x126.npy,resources/data/artificial/sample_y126.npy
resources/data/artificial/sample_x127.npy,resources/data/artificial/sample_y127.npy
resources/data/artificial/sample_x128.npy,resources/data/artificial/sample_y128.npy
resources/data/artificial/sample_x129.npy,resources/data/artificial/sample_y129.npy
resources/data/artificial/sample_x130.npy,resources/data/artificial/sample_y130.npy
resources/data/artificial/sample_x131.npy,resources/data/artificial/sample_y131.npy
resources/data/artificial/sample_x132.npy,resources/data/artificial/sample_y132.npy
resources/data/artificial/sample_x133.npy,resources/data/artificial/sample_y133.npy
resources/data/artificial/sample_x134.npy,resources/data/artificial/sample_y134.npy
resources/data/artificial/sample_x135.npy,resources/data/artificial/sample_y135.npy
resources/data/artificial/sample_x136.npy,resources/data/artificial/sample_y136.npy
resources/data/artificial/sample_x137.npy,resources/data/artificial/sample_y137.npy
resources/data/artificial/sample_x138.npy,resources/data/artificial/sample_y138.npy
resources/data/artificial/sample_x139.npy,resources/data/artificial/sample_y139.npy
resources/data/artificial/sample_x140.npy,resources/data/artificial/sample_y140.npy
resources/data/artificial/sample_x141.npy,resources/data/artificial/sample_y141.npy
resources/data/artificial/sample_x142.npy,resources/data/artificial/sample_y142.npy
resources/data/artificial/sample_x143.npy,resources/data/artificial/sample_y143.npy
resources/data/artificial/sample_x144.npy,resources/data/artificial/sample_y144.npy
resources/data/artificial/sample_x145.npy,resources/data/artificial/sample_y145.npy
resources/data/artificial/sample_x146.npy,resources/data/artificial/sample_y146.npy
resources/data/artificial/sample_x147.npy,resources/data/artificial/sample_y147.npy
